Comment,Designator,Footprint,LCSC
22,"RL3,RR2,RR3,RL2",R_1206_3216Metric,C17958
0.1μF,"CR5,CL7,CL5,CL6,CR7,CR6",C_1206_3216Metric,C24497
10k,"RL5,RR5,RL4,RR4",R_1206_3216Metric,C17928
10μF,"CL8,CR8",C_1206_3216Metric,C13585
16Mhz,"YL1,YR1",OSC-SMD_4P-L3.2-W2.5-BL,C13738
1M,"RRD1,RLD1",R_1206_3216Metric,C17927
1μF,"CR3,CL3",C_1206_3216Metric,C1848
22pF,"CR1,CL2,CR2,CL1",C_1206_3216Metric,C107174
4.7μF,"CLD1,CRD1",C_1206_3216Metric,C29823
5.1k,"RRD3,RLD2,RLD3,RRD2",R_1206_3216Metric,C964991
ATmega32U4-M,"UR1,UL1",QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,C112161
D,"DL00_30,DL00_33,DL00_10,DR00_9,DR00_21,DL00_1,DL00_2,DR00_38,DL00_14,DL00_15,DL00_4,DR00_24,DR00_4,DR00_34,DR00_30,DL00_17,DR00_14,DL00_12,DR00_3,DR00_31,DR00_40,DL00_31,DL00_34,DL00_35,DL00_20,DR00_5,DR00_32,DL00_18,DR00_1,DR00_28,DR00_36,DR00_16,DL00_32,DR00_25,DR00_27,DL00_25,DL00_28,DL00_6,DR00_29,DL00_23,DL00_3,DR00_19,DR00_15,DR00_12,DL00_22,DL00_5,DR00_13,DR00_6,DL00_19,DR00_18,DR00_17,DR00_10,DR00_11,DR00_7,DL00_40,DL00_8,DL00_26,DR00_2,DL00_21,DL00_29,DR00_8,DR00_26,DL00_9,DR00_22,DL00_7,DL00_11,DL00_38,DL00_36,DR00_39,DL00_13,DR00_20",D_SOD-123-Pretty,C81598
ESD5Z5V0,"ESDDLD1,ESDDRD1",D_SOD-523,C502546
SMD0805-050-16V,"FLD1,FRD1",Fuse_1206_3216Metric,C2833485
TPD4E05U06DQAR,"URD1,ULD1",USON-10_L2.5-W1.0-P0.50-BL,C2836386
TS-1187A-B-A-B,"RESETR_SW1,RESETL_SW1",SW_TS-1187A-B-A-B,C318884
USB_C_Receptacle_USB2.0,"USBRD1,USBLD1",USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
